Id;Id_Kurs;Id_Adressatengruppe
1;1;4
2;2;4
3;3;3
4;4;3
5;5;3
6;6;3
7;7;3
8;8;3
9;9;3
10;10;3
11;11;3
12;12;3
13;79;3
14;13;3
15;14;3
16;15;3
17;16;3
18;17;3
19;18;3
20;19;3
21;20;3
22;21;
23;22;3
24;23;3
25;24;3
26;25;3
27;26;3
28;27;3
29;28;3
30;29;3
31;30;3
32;31;3
33;32;3
34;33;2
35;34;2
36;35;2
37;36;2
38;37;4
39;38;4
40;39;4
41;40;4
42;41;4
43;42;4
44;43;4
45;44;4
46;45;5
47;46;5
48;47;5
49;48;5
50;49;5
51;50;5
52;51;5
53;52;5
54;53;5
55;54;5
56;55;5
57;56;5
58;57;5
59;58;5
60;59;5
61;60;3
62;61;3
63;62;3
64;63;3
65;64;3
66;65;3
67;66;3
68;67;3
69;68;3
70;69;3
71;70;3
72;71;3
73;72;3
74;73;5
75;74;1
76;75;1
77;76;3
78;77;3
79;78;2
