Id;FK_Kontaktdaten;Offizieller_Name;Beschreibung
1;13;Christoph Küng;
2;9;ECAP Aargau;
3;7;Freie Christgemeinde Aarau;
4;4;Gemeindekanzlei;
5;10;Kantonale Schule für Berufsbildung ksb;
6;14;Kath.Kirchenzentrum St. Marien;
7;11;Lernen im Quartier;
8;3;machbar Bildungs-GmbH;
9;;Netzwerk Asyl;
10;12;Nosotras Aargau;NoSotras setzt sich dafür ein, Frauen zu aktivieren und zu integrieren. IN Aarau und Baden bieten sie Deutschkurse und Konversationskurse an. 
11;;Schweizerisches Rotes Kreuz Kanton Aargau Bildung;
12;6;TLC Baden;TLC International House Zurich-Baden ist die Sprachschule für Erwachsene und Unternehmen. In unseren Räumlichkeiten in Baden und Birr sowie firmenintern in der gesamten Deutschschweiz ist TLC Ihr idealer Partner für professionelles Sprachtraining. Individuell, praxisnah und effizient. Sie lernen in Kleingruppen von maximal 8 Kursteilnehmenden und werden von hoch qualifizierten und motivierten Lehrkräften betreut, die ausnahmslos ihre Muttersprache unterrichten. Drei internationale Zertifizierungen und über 100 Firmenreferenzen bürgen für unsere Qualität.
13;1;Verein Lesen und Schreiben für Erwachsene;Lesen, Schreiben, Rechtschreibung, Grammatik, Stil, Wortschatz, Fremdwörter und Textverständnis.<br>Das Kurs- und Beratungsangebot richtet sich an Erwachsene mit deutscher Muttersprache oder guten mündlichen Deutschkenntnissen, die im Umgang mit der deutschen Sprache unsicher sind.
